Date,Comment_ID,Parent_ID,Level,Author,Content,Permalink,Post_URL
2026-06-15T14:38:57.000Z,1333557738909785,,0,Thu Hiền,Em xin ý kiến của các mom ạ,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1333557738909785,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-15T17:36:27.000Z,1333675685564657,,0,Kỳ Duyên,"Theo thời gian lâu dài thì chắc ok mom ạ, mom cho bé vận động, án uống đủ chất nữa ạ",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1333675685564657,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-16T04:43:43.000Z,1334022492196643,1333675685564657,1,Thu Hiền,"Kỳ Duyên dạ vâng ạ, e cũng đầy đủ khoản ăn uống cho bé lắm ý bác",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1333675685564657&reply_comment_id=1334022492196643,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-16T10:22:42.000Z,1334215098844049,,0,Ánh Minh,Massage bầu Hoàng Cung Hàn Quốc với 2 tiếng massage và gội đầu siêu phê chỉ 399K. Giường gội và giường massage thiết kế riêng cho mẹ bầu. Boree Spa tại 89 Đường số 8 KDC Cityland Park Hills Gò Vấp - 0868063086,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1334215098844049,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:11:32.000Z,1336867458578813,,0,Mai Vy,"Đừng lo quá mẹ nó, bé 5 tuổi đag đà phát triển tốt á, duy trì đều đặn sữa bột Hikid mỗi tối là chuẩn bài rồi, dòng này nuôi dài xương tốt nhờ cơ chế hấp thụ canxi kép phối hợp D3, K2, CPP đỉnh lắm",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336867458578813,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:13:47.000Z,1336869211911971,,0,Quỳnh Chi,"Bé nhà e cũng tầm tuổi này mà lùn còi dã man, mẹ nó cho uốg dòng Hikid nào thế, sữa có bị nóng hay gây táo bón gì ko ạ",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336869211911971,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:14:11.000Z,1336869458578613,1336869211911971,1,Pham Anh,"Quỳnh Chi uốg Hikid vani đi bà, sữa mát lành lắm vì bổ sug thêm chất xơ FOS với rau diếp xoăn chống táo bón đỉnh cực, tiêu hóa mượt mà con mới hấp thu chất để tăng cao dc",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336869211911971&reply_comment_id=1336869458578613,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:14:35.000Z,1336869758578583,1336869458578613,2,Quỳnh Chi,"mom tk hikid premium lon xanh cũng dc á, dòng này thiên hẳn về chiều cao hơn",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336869211911971&reply_comment_id=1336869758578583,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:15:00.000Z,1336870051911887,,0,Như Quỳnh,"Kết hợp thế là okela rồi mom ơi, Hikid nội địa Hàn nổi tiếng canxi cao vượt trội với có bộ đôi tăng trưởng IGF từ sữa non mà, bé nhà tui ngày uốg sữa tươi tối uốg Hikid trộm vía cao lớn phổng phao hẳn",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336870051911887,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:15:54.000Z,1336870681911824,1336870051911887,1,Thu Hiền,"Như Quỳnh dạ vâng ạ, em cảm ơn mom nha",https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336870051911887&reply_comment_id=1336870681911824,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-19T14:16:15.000Z,1336870885245137,1336867458578813,1,Thu Hiền,Mai Vy dạ vâng ạ. E cũng momg con hợp sữa để phát triển tốt nhất,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1336867458578813&reply_comment_id=1336870885245137,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-23T01:25:59.000Z,1339856401613252,,0,Nguyễn Thu Thuỷ,Có nha mom,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1339856401613252,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-24T08:53:52.000Z,1340936668171892,,0,Ngoan Ngọc,CHỈ 199K - TRẢI NGHIỆM BƠI THUỶ LIỆU HOT NHẤT XỨ HÀN( Giá gốc 499K) 💦1 bé - 1 hồ - 1 cô 💦Free Hanbok chụp ảnh cả gia đình 💦Free phụ kiện đồ bơi 💦Free chụp ảnh như Studio Boree Spa tại 89 Đường số 8 KDC Cityland Park Hills Gò Vấp - Hotline: 0868063086,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1340936668171892,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
2026-06-30T08:54:43.000Z,1346002060998686,,0,Bão Phùng,Phòng riêng vợ chồng mẹ bầu thư giãn duy nhất tại Boree Spa chỉ từ 598K/ 2 người . Giường gội và giường massage thiết kế riêng cho mẹ bầu - Không gian 5 sao Boree Spa tại 89 Đường số 8 KDC Cityland Park Hills Gò Vấp - 0868063086,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/?comment_id=1346002060998686,https://www.facebook.com/groups/hoiriviewsua/posts/1333274592271433/
